date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 1 night in October 2014,Business traveler,"Reviewed November 06, 2014",Good,Good Location”,Moi from Malaysia
Stayed 1 night in May 2014,Couple,"Reviewed October 31, 2014",,Great location”,Christine from Malaysia
Stayed 1 night in August 2014,Business traveler,"Reviewed October 30, 2014","Good Location, however staff behaved very poorly even with our newborn we did not get any help or assistance. ",Poor Service”,Erick from Indonesia
Stayed 4 nights in September 2014,Family with teens,"Reviewed October 27, 2014",i like staying in comfortable room and sure will stay in this hotel again for my next trip,Nice clean Hotel”,Rosa from Indonesia
Stayed 1 night in May 2014,Family with young children,"Reviewed October 24, 2014",,Good location”,Christine from Malaysia
"Reviewed October 24, 2014",Family with young children,"Reviewed October 24, 2014",,Great Location”,Christine from Malaysia
Stayed 2 nights in October 2014,Couple,"Reviewed October 23, 2014",Great,Good location ”,sopangna from Cambodia
Stayed 2 nights in October 2014,Couple,"Reviewed October 23, 2014",the bed was very uncomfortable esp the pillow and the carpet is not that clean. ,very uncomfortable bed”,ing from Cambodia
Stayed 2 nights in October 2014,Business traveler,"Reviewed October 22, 2014",It was just fine. ,my experience ”,FOOK from Malaysia
Stayed 1 night in October 2014,Couple,"Reviewed October 20, 2014",location is great near orchard road... the building bit old,great location”,marshall from Indonesia
Stayed 1 night in October 2014,Business traveler,"Reviewed October 15, 2014","my stay was bad. beds not tucked in, light bulbs missing, bad staff. not friendly at all. will never stay there at all.",bad place to stay”,kishen from Indonesia
Stayed 2 nights in August 2014,Business traveler,"Reviewed October 13, 2014","Good hotel in orchard road, but quite on the high side for the money. Check in always the problem as this hotel is popular.",Nice 5 stars in Orchard road”,Frederik from Indonesia
Stayed 2 nights in October 2014,Business traveler,"Reviewed October 10, 2014",,good”,Remus from Philippines
Stayed 2 nights in October 2014,Business traveler,"Reviewed October 10, 2014",,great location”,Remus from Philippines
Stayed 2 nights in September 2014,Family with young children,"Reviewed October 06, 2014",Overall was a good stay.,Holiday Stay”,Antoni from Indonesia
Stayed 5 nights in September 2014,Solo traveler,"Reviewed October 04, 2014",,Hotel located at heart of Orchard road”,Flora from Hong Kong
Stayed 1 night in October 2014,Solo traveler,"Reviewed October 03, 2014","Can not to be mentioned as fantastic stay.
Room so lame of light and need to be refresh and decorate. 
",Rejuvenating Room”,Arvin from Indonesia
Stayed 2 nights in September 2014,Business traveler,"Reviewed September 30, 2014","Hotel staff very helpful , friendly smiley and hotel close with shopping mall",Very nice hotel”,SIEW from China
Stayed 2 nights in November 2013,Group,"Reviewed September 27, 2014","the hotel staff was not flexible at all during check in,
i believe she was not in a good shape, while serving the guests",wrong attitude staff”,Bobby from Indonesia
Stayed 4 nights in September 2014,Business traveler,"Reviewed September 25, 2014",,Nice Hotel”,Christian from Indonesia
Stayed 3 nights in July 2014,Business traveler,"Reviewed September 23, 2014",shopping area within 5 mins walk in orchard area. Clean hotel. ,Nice hotel in orchard”,Frederik from Indonesia
Stayed 3 nights in June 2014,Family with young children,"Reviewed September 23, 2014",,good hotel”,irwan from Indonesia
Stayed 2 nights in September 2014,Couple,"Reviewed September 22, 2014","Enough comfortable , ",Room not ready at the c/in time . Always late c/in”,Fransisca from Indonesia
Stayed 3 nights in September 2014,Business traveler,"Reviewed September 21, 2014",,Nice Hotel”,Christian from Indonesia
Stayed 3 nights in September 2014,Family with young children,"Reviewed September 21, 2014","Location wise,very good but other services and facilities up to normal standard only.",great location but others average”,jimmy from Malaysia
Stayed 1 night in September 2014,Couple,"Reviewed September 19, 2014","room was clean, bathroom spacious, easy access around orchard street and mrt, lack of entertainment tv channel (hbo, fox movies, etc), nothing extraordinary on breakfast menu",one of the best hotel with perfect location”,Agni from Indonesia
Stayed 2 nights in September 2014,Business traveler,"Reviewed September 18, 2014",My stay was ok but little bit disappointed by new rule of Hotel Management that I can get free parking ticket for my colleague in here that park his car at the hotel.,Nice Hotel”,Christian from Indonesia
Stayed 2 nights in September 2014,Business traveler,"Reviewed September 16, 2014",Pleasant stay. great location at the heart of orchard road and easy to have food ,Perfect location for shopping”,Yuliantina from Indonesia
Stayed 4 nights in August 2014,Family with young children,"Reviewed September 15, 2014",,Best location”,Lim from Brunei Darussalam
Stayed 3 nights in July 2014,Group,"Reviewed September 11, 2014",,Good location”,Liny from Laos
"Reviewed September 10, 2014",Business traveler,"Reviewed September 10, 2014","Very nice stay, great staff support",Nice Hotel”,Jenny from United States
Stayed 3 nights in August 2014,Business traveler,"Reviewed September 10, 2014",Flow of traffic at the main entrance. Concierge and Senior Front office staffs.,Unsatisfactory Front Office service”,Sophia from Malaysia
Stayed 3 nights in August 2014,Couple,"Reviewed September 08, 2014",,first time travel to Singapore”,hien from United States
"Reviewed September 04, 2014",Group,"Reviewed September 04, 2014","check in takes too long, however the location is good though i think the hotel can consider some refurbishment.",Good Location!”,Yun from Malaysia
Stayed 3 nights in June 2014,Couple,"Reviewed September 04, 2014",check in always takes too long.,good location but can be refurbished.”,Yun from Malaysia
Stayed 1 night in August 2014,Couple,"Reviewed September 01, 2014",Location is great but staff service is average. ,Great location”,liew from Malaysia
Stayed 3 nights in August 2014,Group,"Reviewed September 01, 2014","It was a pleasant stay, very good location, connecting to mandarin gallery with many restaurants.",Nice Hotel location but very crowded”,Johanes from Indonesia
Stayed 3 nights in August 2014,Business traveler,"Reviewed September 01, 2014",pleasant though rooms were a little run down but still within tolerable standards,one of the most convenient hotel in Singapore”,Ceazar from Philippines
Stayed 2 nights in May 2014,Business traveler,"Reviewed September 01, 2014",It is quite a nice stay but checking in and checking out system must be improved immidiately. ,Long long que checking in”,JATUPORN from Thailand
Stayed 2 nights in August 2014,Business traveler,"Reviewed August 31, 2014",Pleasant,Strategic location”,Yuliantina from Indonesia
Stayed 2 nights in August 2014,Business traveler,"Reviewed August 31, 2014",Pleasant and good location,Good location”,Yuliantina from Indonesia
Stayed 1 night in October 2013,Business traveler,"Reviewed August 29, 2014",Very good,Nice location”,Heriyanto from Indonesia
Stayed 1 night in January 2014,Family with young children,"Reviewed August 20, 2014",It was very comfortable but breakfast tends to be so crowded. Rooms are quite small. Generally it was good.,Hotel is very close to the shopping area”,Lennie from Philippines
Stayed 3 nights in July 2014,Family with young children,"Reviewed August 17, 2014",good,great hotel location”,stefen from Indonesia
"Reviewed August 15, 2014",Couple,"Reviewed August 15, 2014",,Mandarin Orchard Singapore”,Khun from Cambodia
"Reviewed August 13, 2014",Solo traveler,"Reviewed August 13, 2014",,"old grand dame, lost a bit of its lustre  ”",Samuel from Singapore
Stayed 3 nights in July 2014,Business traveler,"Reviewed August 10, 2014",Good and will recommend to all my friends especially good for buisness traveller ,Good hotel & location”,Gan from Malaysia
Stayed 3 nights in August 2014,Couple,"Reviewed August 08, 2014",,Nice room and clean”,kartika from Indonesia
"Reviewed August 07, 2014",Family with teens,"Reviewed August 07, 2014",,Perfect location for shoppers”,Lee from Malaysia
Stayed 2 nights in August 2014,Business traveler,"Reviewed August 06, 2014",,Best location”,Putheary from Cambodia
Stayed 3 nights in December 2013,Family with young children,"Reviewed August 03, 2014",,Good Location ”,Rina from Indonesia
Stayed 3 nights in July 2014,Family with teens,"Reviewed August 01, 2014","it is a very nice to stays, good location, we enjoyed our stay the location is in the shopping 
area.","comfort room, restaurants nearby, near mst station”",chee from Malaysia
Stayed 3 nights in July 2014,Business traveler,"Reviewed July 31, 2014",the food is great and there are more choices at the mandarin gallery next door. the bathroom is not too clean but otherwise ok comfortable.,mandarin standard”,Ho from Canada
Stayed 1 night in July 2014,Business traveler,"Reviewed July 24, 2014",Very crowded when check in apart from that very close to shopping centre,City shopping hotel”,Frederik from Indonesia
"Reviewed July 24, 2014",Family with young children,"Reviewed July 24, 2014",Overall is good. Only the room need to upgrade again.,good location ”,koko from Indonesia
Stayed 3 nights in June 2014,Family with young children,"Reviewed July 22, 2014","Very comfortable , nice staffs, clean, room wit suitable size , good location ",Nice hotel with centrally located”,Jilaporn from Cambodia
"Reviewed July 22, 2014",Couple,"Reviewed July 22, 2014",,alright ”,CHIU from Singapore
"Reviewed July 21, 2014",Business traveler,"Reviewed July 21, 2014",,Enjoy the stay.”,Agus from Indonesia
Stayed 1 night in February 2014,Family with young children,"Reviewed July 21, 2014",,Good ”,Wai from Hong Kong
Stayed 3 nights in July 2014,Family with young children,"Reviewed July 21, 2014",nice room but poor check-in service as long queue with too little counters open.,Location location location”,Kar from Malaysia
Stayed 2 nights in May 2014,Family with young children,"Reviewed July 18, 2014","Really like this hotel, we are happy stay at mandatin orchard
",Hotel with good location”,ANDY from Indonesia
Stayed 2 nights in January 2014,Group,"Reviewed July 17, 2014",,nice hotel with central located”,Putheary from Cambodia
"Reviewed July 16, 2014",Family with young children,"Reviewed July 16, 2014","the hotel is great but the check in delay, we unable get the room ready although 6pm.",great place and great food”,lydia from Malaysia
Stayed 2 nights in July 2014,Family with young children,"Reviewed July 13, 2014","Superb experience as always until we met a rude,money minded porter when we took taxi to the airport at the taxi lobby..i will never ask a porter to carried my luggage anymore",Nice hotel with superb location”,Ditta from Indonesia
Stayed 2 nights in July 2014,Couple,"Reviewed July 13, 2014","Pleasanr staying, good locarion near to restaurant and shopping center",Good location”,William from Indonesia
Stayed 1 night in July 2014,Couple,"Reviewed July 09, 2014",,Pleasant & peaceful”,Ng from Singapore
"Reviewed July 07, 2014",Solo traveler,"Reviewed July 07, 2014",If only staff smiles more..very cool m cold. Breakfast not as good as I expect from 5 star.,ok only expecting breakfast to b great.”,Hui from Malaysia
